252,465,284,288,440,684,266,160,26.40,64.80
253,467,286,287,442,684,267,161,26.40,64.80
253,467,286,286,462,685,266,161,26.40,64.80
253,471,285,288,446,684,267,173,26.40,65.20
254,473,286,289,442,684,268,174,26.40,65.70
254,450,286,285,447,684,268,172,26.40,65.80
254,451,286,285,449,684,268,171,26.40,66.00
253,452,285,288,448,683,267,173,26.40,66.10
254,456,286,287,446,683,268,171,26.40,66.30
253,447,285,288,444,682,267,170,26.40,66.60
253,438,285,287,445,682,268,171,26.40,66.80
254,440,286,290,445,682,269,171,26.40,67.20
253,443,285,288,445,682,268,170,26.40,67.70
253,453,285,291,445,681,269,172,26.40,67.90
253,436,285,292,446,680,270,173,26.40,68.20
254,430,285,293,446,680,270,172,26.40,68.60
253,432,285,288,447,680,271,173,26.40,69.40
254,435,286,286,448,680,272,175,26.40,69.40
254,434,286,294,447,679,272,173,26.40,69.70
254,434,286,295,448,679,273,174,26.40,70.80
254,435,286,296,450,678,274,175,26.40,71.20
254,436,286,296,451,678,275,174,26.40,71.30
254,437,286,296,452,677,275,172,26.50,71.80
254,436,286,295,452,677,277,174,26.40,71.60
254,437,287,291,454,676,278,175,26.40,71.90
254,438,287,291,454,675,280,173,26.50,72.20
254,437,287,296,454,675,280,172,26.40,72.80
255,436,287,292,454,674,282,174,26.40,73.20
255,435,287,297,455,673,283,176,26.50,73.50
255,435,288,299,455,672,284,174,26.50,74.00
255,436,288,295,456,672,285,173,26.50,74.40
255,436,288,296,458,671,287,175,26.40,74.50
255,435,288,300,457,670,288,177,26.40,74.60
255,435,288,298,458,669,289,174,26.50,75.20
254,435,288,295,459,668,290,172,26.50,75.40
255,434,288,300,459,667,292,174,26.50,75.30
255,435,288,300,459,666,293,176,26.50,75.70
255,434,289,302,460,666,295,174,26.50,76.00
255,434,289,302,461,665,297,176,26.50,76.30
255,434,289,301,461,664,298,175,26.50,76.50
255,434,289,302,462,663,300,177,26.50,76.80
255,434,290,303,463,662,301,178,26.50,77.00
256,434,290,305,464,661,303,177,26.50,77.30
256,435,291,306,465,660,305,178,26.60,77.50
256,435,291,308,466,660,306,177,26.50,77.70
256,435,291,308,468,659,308,178,26.50,77.90
257,435,292,310,476,658,310,180,26.50,78.10
257,435,292,313,473,657,312,177,26.60,78.20
258,435,293,313,480,656,314,174,26.60,78.50
258,435,293,314,480,655,316,172,26.60,78.60
258,435,293,315,480,654,317,173,26.60,78.90
258,435,294,316,478,653,319,175,26.60,79.10
259,435,294,317,467,652,321,177,26.60,79.30
259,435,295,319,479,651,323,175,26.60,79.50
259,435,295,319,479,650,325,175,26.60,79.60
259,435,295,320,479,649,327,175,26.60,79.80
260,435,296,322,481,648,329,174,26.60,80.00
260,435,296,324,488,647,330,175,26.60,80.20
260,435,297,326,499,647,333,177,26.60,80.40
261,435,297,327,478,645,334,178,26.60,80.50
